Zip Code,Crime Rates,K-12 Schools,Fast Food Resterants,Crime Rate Score (weighed 0.4),K-12 Schools (weighed 0.35),Fast Food Resterants (weighed 0.25),Total Score
15205,3970,3,36.0,35.34938206524922,7.0,19.565217391304348,61.914599456553574
15213,13481,4,38.0,24.2078135067065,9.333333333333334,20.652173913043477,54.19332075308331
15216,6126,6,11.0,32.82375680899666,14.0,5.978260869565218,52.80201767856188
15217,11487,6,20.0,26.54366543665437,14.0,10.869565217391305,51.41323065404567
15226,8225,7,7.0,30.364903649036492,16.333333333333332,3.804347826086957,50.502584808456774
15222,17142,2,46.0,19.919170620277637,4.666666666666667,25.0,49.585837286944304
15233,5520,5,3.0,33.53364962221051,11.666666666666664,1.6304347826086956,46.83075107148587
15220,5473,2,15.0,33.588707315644584,4.666666666666667,8.152173913043478,46.407547895354725
15201,8705,5,5.0,29.802612311837404,11.666666666666664,2.717391304347826,44.18667028285189
15219,21958,6,27.0,14.277514203713464,14.0,14.673913043478262,42.95142724719173
15232,5619,1,12.0,33.4176770339132,2.3333333333333335,6.521739130434782,42.27274949768132
15208,11349,6,1.0,26.7053241960991,14.0,0.5434782608695652,41.24880245696866
15206,24106,10,11.0,11.761260469747556,23.33333333333333,5.978260869565218,41.0728546726461
15212,34146,15,9.0,0.0,35.0,4.891304347826087,39.891304347826086
15207,8592,4,1.0,29.934985064136352,9.333333333333334,0.5434782608695652,39.81179665833925
15221,8983,1,12.0,29.47695191237627,2.3333333333333335,6.521739130434782,38.33202437614438
15210,25467,9,11.0,10.166930240730979,21.0,5.978260869565218,37.145191110296196
15224,7786,1,6.0,30.87916593451649,2.3333333333333335,3.260869565217391,36.47336883306721
15211,7596,1,2.0,31.10173958882446,2.3333333333333335,1.0869565217391304,34.522029443896926
15203,19300,2,19.0,17.39120248345341,4.666666666666667,10.326086956521738,32.38395610664182
